BranchNum,BranchName,Date,AvgTemp,MaxTemp,MaxTempTime,MinTemp,MinTempTime,TempRange
108,서울,2024-06-28,26.6,32.5,14:49,21.3,05:36,11.2
108,서울,2024-06-29,26.7,32.3,14:08,21.6,05:29,10.7
108,서울,2024-06-30,23.5,24.9,16:40,22.0,09:47,2.9
108,서울,2024-07-01,26.3,31.3,15:37,22.0,05:06,9.3
108,서울,2024-07-02,23.2,25.2,00:01,21.9,12:14,3.3
108,서울,2024-07-03,24.7,25.9,11:52,23.6,07:35,2.3
108,서울,2024-07-04,26.8,30.6,14:59,23.2,06:20,7.4
108,서울,2024-07-05,23.4,26.1,16:55,21.3,05:10,4.8
108,서울,2024-07-06,25.1,30.0,14:20,22.1,05:42,7.9
108,서울,2024-07-07,24.4,28.2,13:27,21.5,05:14,6.7
108,서울,2024-07-08,23.8,24.5,15:35,23.1,20:32,1.4
108,서울,2024-07-09,24.5,26.7,13:17,22.7,05:13,4
108,서울,2024-07-10,26.6,31.1,13:26,22.7,05:17,8.4
108,서울,2024-07-11,25.7,28.9,15:31,23.3,23:54,5.6
108,서울,2024-07-12,25.6,30.2,16:19,21.8,05:50,8.4
108,서울,2024-07-13,28.1,33.3,15:44,23.5,05:50,9.8
108,서울,2024-07-14,28.4,32.1,16:54,24.9,06:54,7.2
108,서울,2024-07-15,28.4,31.3,16:33,24.5,05:24,6.8
108,서울,2024-07-16,27.0,30.7,12:27,24.6,23:46,6.1
108,서울,2024-07-17,25.4,28.1,13:45,24.1,03:55,4
108,서울,2024-07-18,24.3,25.6,00:01,23.1,08:13,2.5
108,서울,2024-07-19,27.0,30.8,14:54,24.2,04:40,6.6
108,서울,2024-07-20,27.2,30.6,15:47,25.1,04:43,5.5
108,서울,2024-07-21,26.5,29.8,18:08,22.5,04:51,7.3
108,서울,2024-07-22,26.6,27.9,00:01,24.3,11:04,3.6
108,서울,2024-07-23,26.4,27.3,15:17,25.8,04:54,1.5
108,서울,2024-07-24,28.1,30.9,13:55,26.0,05:46,4.9
108,서울,2024-07-25,28.8,32.2,15:51,25.4,23:56,6.8
108,서울,2024-07-26,28.7,32.7,15:37,25.2,01:37,7.5
108,서울,2024-07-27,28.9,31.7,12:44,27.5,05:46,4.2
108,서울,2024-07-28,29.2,32.2,14:27,27.3,04:45,4.9
108,서울,2024-07-29,27.4,27.8,00:01,26.8,23:56,1
108,서울,2024-07-30,28.6,31.9,14:41,26.3,04:59,5.6
108,서울,2024-07-31,29.4,33.3,15:40,27.0,03:21,6.3
